Release,version,Action,Method,Old class,New class (– if none)
rel_1_16,v1beta1,DELETED,deleteCollectionVolumeAttachment,VolumeAttachment,--
rel_1_16,v1beta1,DELETED,createVolumeAttachment,VolumeAttachment,--
rel_1_16,v1beta1,DELETED,deleteVolumeAttachment,VolumeAttachment,--
rel_1_16,v1beta1,DELETED,readVolumeAttachment,VolumeAttachment,--
rel_1_16,v1beta1,DELETED,patchVolumeAttachment,VolumeAttachment,--
rel_1_16,v1beta1,DELETED,replaceVolumeAttachment,VolumeAttachment,--
rel_1_16,v1beta1,DELETED,listCustomResourceDefinition,CustomResourceDefinitionList,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedDeployment,Deployment,--
rel_1_16,v1beta1,DELETED,createNamespacedDeployment,Deployment,--
rel_1_16,v1beta1,DELETED,deleteNamespacedDeployment,Deployment,--
rel_1_16,v1beta1,DELETED,readNamespacedDeployment,Deployment,--
rel_1_16,v1beta1,DELETED,patchNamespacedDeployment,Deployment,--
rel_1_16,v1beta1,DELETED,replaceNamespacedDeployment,Deployment,--
rel_1_16,v1beta1,DELETED,replaceNamespacedDeploymentStatus,Deployment,--
rel_1_16,v1beta1,DELETED,createSelfSubjectAccessReview,SelfSubjectAccessReview,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta1,DELETED,createNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta1,DELETED,deleteNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta1,DELETED,readNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta1,DELETED,patchNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta1,DELETED,replaceNamespacedDaemonSet,DaemonSet,--
rel_1_16,v1beta1,DELETED,replaceNamespacedDaemonSetStatus,DaemonSet,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedEvent,Event,--
rel_1_16,v1beta1,DELETED,createNamespacedEvent,Event,--
rel_1_16,v1beta1,DELETED,deleteNamespacedEvent,Event,--
rel_1_16,v1beta1,DELETED,readNamespacedEvent,Event,--
rel_1_16,v1beta1,DELETED,patchNamespacedEvent,Event,--
rel_1_16,v1beta1,DELETED,replaceNamespacedEvent,Event,--
rel_1_16,v1beta1,DELETED,readNamespacedDeploymentScale,Scale,--
rel_1_16,v1beta1,DELETED,patchNamespacedDeploymentScale,Scale,--
rel_1_16,v1beta1,DELETED,replaceNamespacedDeploymentScale,Scale,--
rel_1_16,v1beta1,DELETED,readNamespacedStatefulSetScale,Scale,--
rel_1_16,v1beta1,DELETED,patchNamespacedStatefulSetScale,Scale,--
rel_1_16,v1beta1,DELETED,replaceNamespacedStatefulSetScale,Scale,--
rel_1_16,v1beta1,DELETED,readNamespacedReplicaSetScale,Scale,--
rel_1_16,v1beta1,DELETED,patchNamespacedReplicaSetScale,Scale,--
rel_1_16,v1beta1,DELETED,replaceNamespacedReplicaSetScale,Scale,--
rel_1_16,v1beta1,DELETED,readNamespacedReplicationControllerDummyScale,Scale,--
rel_1_16,v1beta1,DELETED,patchNamespacedReplicationControllerDummyScale,Scale,--
rel_1_16,v1beta1,DELETED,replaceNamespacedReplicationControllerDummyScale,Scale,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta1,DELETED,createNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta1,DELETED,deleteNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta1,DELETED,readNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta1,DELETED,patchNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta1,DELETED,replaceNamespacedControllerRevision,ControllerRevision,--
rel_1_16,v1beta1,DELETED,listClusterRoleBinding,ClusterRoleBindingList,--
rel_1_16,v1beta1,DELETED,deleteCollectionMutatingWebhookConfiguration,MutatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,createMutatingWebhookConfiguration,MutatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,deleteMutatingWebhookConfiguration,MutatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,readMutatingWebhookConfiguration,MutatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,patchMutatingWebhookConfiguration,MutatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,replaceMutatingWebhookConfiguration,MutatingWebhookConfiguration,--
rel_1_16,v1beta1,DELETED,listMutatingWebhookConfiguration,MutatingWebhookConfigurationList,--
rel_1_16,v1beta1,DELETED,listStorageClass,StorageClassList,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedRole,Role,--
rel_1_16,v1beta1,DELETED,createNamespacedRole,Role,--
rel_1_16,v1beta1,DELETED,deleteNamespacedRole,Role,--
rel_1_16,v1beta1,DELETED,readNamespacedRole,Role,--
rel_1_16,v1beta1,DELETED,patchNamespacedRole,Role,--
rel_1_16,v1beta1,DELETED,replaceNamespacedRole,Role,--
rel_1_16,v1beta1,DELETED,listNamespacedRole,RoleList,--
rel_1_16,v1beta1,DELETED,listRoleForAllNamespaces,RoleList,--
rel_1_16,v1beta1,DELETED,listValidatingWebhookConfiguration,ValidatingWebhookConfigurationList,--
rel_1_16,v1beta1,DELETED,listNamespacedStatefulSet,StatefulSetList,--
rel_1_16,v1beta1,DELETED,listStatefulSetForAllNamespaces,StatefulSetList,--
rel_1_16,v1beta1,DELETED,listEventForAllNamespaces,EventList,--
rel_1_16,v1beta1,DELETED,listNamespacedEvent,EventList,--
rel_1_16,v1beta1,DELETED,createTokenReview,TokenReview,--
rel_1_16,v1beta1,DELETED,deleteCollectionPriorityClass,PriorityClass,--
rel_1_16,v1beta1,DELETED,createPriorityClass,PriorityClass,--
rel_1_16,v1beta1,DELETED,deletePriorityClass,PriorityClass,--
rel_1_16,v1beta1,DELETED,readPriorityClass,PriorityClass,--
rel_1_16,v1beta1,DELETED,patchPriorityClass,PriorityClass,--
rel_1_16,v1beta1,DELETED,replacePriorityClass,PriorityClass,--
rel_1_16,v1beta1,DELETED,deleteCollectionNamespacedNetworkPolicy,NetworkPolicy,--
rel_1_16,v1beta1,DELETED,createNamespacedNetworkPolicy,NetworkPolicy,--
rel_1_16,v1beta1,DELETED,deleteNamespacedNetworkPolicy,NetworkPolicy,--
rel_1_16,v1beta1,DELETED,readNamespacedNetworkPolicy,NetworkPolicy,--
rel_1_16,v1beta1,DELETED,patchNamespacedNetworkPolicy,NetworkPolicy,--
rel_1_16,v1beta1,DELETED,replaceNamespacedNetworkPolicy,NetworkPolicy,--
rel_1_16,v1beta1,DELETED,getAPIResources,APIResourceList,--
rel_1_16,v1beta1,DELETED,listDeploymentForAllNamespaces,DeploymentList,--
rel_1_16,v1beta1,DELETED,listNamespacedDeployment,DeploymentList,--
rel_1_16,v1beta1,DELETED,listNamespacedNetworkPolicy,NetworkPolicyList,--
rel_1_16,v1beta1,DELETED,listNetworkPolicyForAllNamespaces,NetworkPolicyList,--
